Fecha,País,Vistas
13 ene 2024,Chile,1
13 ene 2024,China,1
14 ene 2024,Argentina,3
14 ene 2024,United States,1
15 ene 2024,Argentina,7
15 ene 2024,United States,1
16 ene 2024,Argentina,27
16 ene 2024,Paraguay,1
17 ene 2024,Argentina,13
17 ene 2024,Brazil,2
18 ene 2024,Argentina,21
18 ene 2024,China,2
18 ene 2024,Mexico,2
18 ene 2024,Netherlands,1
19 ene 2024,Argentina,12
19 ene 2024,Germany,1
20 ene 2024,Argentina,12
21 ene 2024,Argentina,13
21 ene 2024,Indonesia,3
21 ene 2024,United States,1
21 ene 2024,China,0
22 ene 2024,Argentina,20
22 ene 2024,China,2
23 ene 2024,Argentina,18
23 ene 2024,United States,1
23 ene 2024,China,0
24 ene 2024,Argentina,7
24 ene 2024,Paraguay,1
25 ene 2024,Argentina,3
26 ene 2024,Argentina,15
26 ene 2024,Indonesia,1
26 ene 2024,Netherlands,1
26 ene 2024,United States,1
27 ene 2024,Argentina,29
28 ene 2024,Argentina,11
28 ene 2024,China,1
28 ene 2024,France,1
28 ene 2024,United States,1
29 ene 2024,Argentina,18
29 ene 2024,United States,1
30 ene 2024,Argentina,3
30 ene 2024,China,1
30 ene 2024,United States,1
31 ene 2024,Argentina,6
31 ene 2024,Paraguay,6
1 feb 2024,Argentina,2
1 feb 2024,China,1
1 feb 2024,Paraguay,1
2 feb 2024,Argentina,9
2 feb 2024,United States,1
3 feb 2024,Argentina,14
3 feb 2024,Chile,1
3 feb 2024,China,1
4 feb 2024,Argentina,7
4 feb 2024,United States,1
5 feb 2024,Uruguay,16
5 feb 2024,Argentina,36
6 feb 2024,Argentina,9
6 feb 2024,China,2
6 feb 2024,Paraguay,1
7 feb 2024,Argentina,5
7 feb 2024,Mexico,1
7 feb 2024,Paraguay,1
8 feb 2024,Argentina,12
8 feb 2024,Paraguay,11
8 feb 2024,China,1
8 feb 2024,United States,1
9 feb 2024,Argentina,17
9 feb 2024,Paraguay,3
10 feb 2024,Argentina,34
10 feb 2024,China,3
10 feb 2024,Chile,1
11 feb 2024,Argentina,10
11 feb 2024,United States,4
11 feb 2024,China,2
11 feb 2024,Guatemala,1
11 feb 2024,Paraguay,1
12 feb 2024,Argentina,3
12 feb 2024,United States,1
13 feb 2024,China,1
14 feb 2024,Argentina,19
15 feb 2024,Argentina,28
15 feb 2024,Chile,1
15 feb 2024,China,1
15 feb 2024,Netherlands,1
15 feb 2024,Paraguay,1
15 feb 2024,United States,1
16 feb 2024,Argentina,16
16 feb 2024,United States,2
17 feb 2024,Argentina,9
18 feb 2024,Argentina,4
18 feb 2024,Brazil,4
18 feb 2024,France,2
18 feb 2024,China,0
19 feb 2024,Argentina,11
19 feb 2024,China,2
20 feb 2024,Argentina,18
20 feb 2024,Brazil,1
21 feb 2024,Argentina,39
21 feb 2024,China,1
21 feb 2024,Seychelles,1
21 feb 2024,United States,1
22 feb 2024,Argentina,23
22 feb 2024,Chile,1
23 feb 2024,Argentina,24
23 feb 2024,China,2
23 feb 2024,Paraguay,1
24 feb 2024,Argentina,21
25 feb 2024,Argentina,9
26 feb 2024,Argentina,31
26 feb 2024,China,1
27 feb 2024,Argentina,51
27 feb 2024,China,1
27 feb 2024,United States,1
28 feb 2024,Argentina,33
28 feb 2024,Chile,1
28 feb 2024,South Korea,0
29 feb 2024,Argentina,15
29 feb 2024,China,2
29 feb 2024,Italy,2
29 feb 2024,Guatemala,1
29 feb 2024,United States,1
1 mar 2024,Argentina,13
1 mar 2024,Spain,5
1 mar 2024,United States,0
2 mar 2024,Argentina,23
2 mar 2024,Spain,3
2 mar 2024,China,0
3 mar 2024,Argentina,7
3 mar 2024,China,2
3 mar 2024,United States,2
3 mar 2024,Spain,1
3 mar 2024,Ireland,0
4 mar 2024,Argentina,46
4 mar 2024,Paraguay,4
4 mar 2024,China,0
5 mar 2024,Argentina,27
5 mar 2024,Mexico,4
5 mar 2024,Paraguay,3
5 mar 2024,China,1
5 mar 2024,United States,1
5 mar 2024,Ireland,0
6 mar 2024,Argentina,34
6 mar 2024,Paraguay,7
7 mar 2024,Argentina,37
7 mar 2024,Paraguay,9
7 mar 2024,Chile,6
7 mar 2024,China,2
7 mar 2024,United States,1
8 mar 2024,Argentina,30
8 mar 2024,Paraguay,4
8 mar 2024,United States,1
9 mar 2024,Ireland,0
9 mar 2024,China,0
9 mar 2024,Argentina,65
10 mar 2024,Argentina,12
10 mar 2024,France,1
10 mar 2024,Sweden,0
11 mar 2024,Argentina,44
11 mar 2024,United States,4
11 mar 2024,Paraguay,2
11 mar 2024,(not set),1
11 mar 2024,China,1
11 mar 2024,Germany,1
12 mar 2024,Argentina,33
12 mar 2024,Paraguay,7
12 mar 2024,China,1
12 mar 2024,United States,0
13 mar 2024,Argentina,27
13 mar 2024,Paraguay,7
13 mar 2024,United States,7
13 mar 2024,China,1
13 mar 2024,Colombia,1
14 mar 2024,Uruguay,1
14 mar 2024,United States,3
14 mar 2024,Paraguay,2
14 mar 2024,Hungary,1
14 mar 2024,Argentina,19
15 mar 2024,Argentina,38
15 mar 2024,Paraguay,4
15 mar 2024,China,0
15 mar 2024,United States,0
16 mar 2024,Argentina,44
16 mar 2024,Chile,2
16 mar 2024,Dominican Republic,1
16 mar 2024,Germany,1
16 mar 2024,United States,0
17 mar 2024,China,1
17 mar 2024,Argentina,11
17 mar 2024,Italy,1
17 mar 2024,United States,0
18 mar 2024,Argentina,48
18 mar 2024,Paraguay,3
18 mar 2024,United States,1
19 mar 2024,Argentina,42
19 mar 2024,China,4
19 mar 2024,United States,2
19 mar 2024,Paraguay,1
19 mar 2024,Sweden,0
20 mar 2024,Argentina,49
20 mar 2024,Paraguay,5
20 mar 2024,China,0
21 mar 2024,China,1
21 mar 2024,Argentina,12
21 mar 2024,Paraguay,1
21 mar 2024,United States,0
22 mar 2024,Argentina,67
22 mar 2024,Paraguay,5
22 mar 2024,Indonesia,1
22 mar 2024,Ireland,0
23 mar 2024,Argentina,29
23 mar 2024,Italy,1
23 mar 2024,Paraguay,1
23 mar 2024,United States,1
24 mar 2024,Argentina,9
24 mar 2024,Spain,5
24 mar 2024,Australia,3
24 mar 2024,Paraguay,1
24 mar 2024,Sweden,0
25 mar 2024,Argentina,23
25 mar 2024,Paraguay,2
25 mar 2024,China,1
26 mar 2024,Argentina,15
26 mar 2024,Paraguay,10
26 mar 2024,China,1
26 mar 2024,Sweden,0
27 mar 2024,China,2
27 mar 2024,Paraguay,5
27 mar 2024,Argentina,28
27 mar 2024,Indonesia,2
27 mar 2024,United States,0
28 mar 2024,Argentina,8
28 mar 2024,Peru,3
28 mar 2024,Italy,1
28 mar 2024,United States,0
29 mar 2024,Argentina,9
29 mar 2024,China,1
29 mar 2024,Paraguay,1
29 mar 2024,Sweden,0
30 mar 2024,Mexico,1
30 mar 2024,Argentina,36
30 mar 2024,United States,1
30 mar 2024,Sweden,0
31 mar 2024,Argentina,7
31 mar 2024,China,1
31 mar 2024,United States,1
1 abr 2024,Argentina,28
1 abr 2024,Paraguay,3
1 abr 2024,Costa Rica,1
1 abr 2024,United States,0
2 abr 2024,Argentina,25
2 abr 2024,Paraguay,2
2 abr 2024,United States,0
