Fecha,País,Vistas
1 oct 2022,Argentina,5
2 oct 2022,Uruguay,3
2 oct 2022,Argentina,2
2 oct 2022,China,1
2 oct 2022,Colombia,1
2 oct 2022,El Salvador,1
3 oct 2022,Argentina,25
3 oct 2022,Colombia,3
3 oct 2022,China,1
4 oct 2022,Argentina,29
4 oct 2022,China,1
5 oct 2022,Argentina,58
5 oct 2022,China,1
6 oct 2022,Argentina,14
7 oct 2022,Argentina,6
7 oct 2022,China,1
7 oct 2022,Colombia,1
7 oct 2022,Singapore,1
12 oct 2022,Argentina,54
13 oct 2022,Argentina,30
13 oct 2022,United States,2
13 oct 2022,China,1
13 oct 2022,Oman,1
14 oct 2022,Argentina,8
14 oct 2022,Oman,4
14 oct 2022,Germany,1
14 oct 2022,Mexico,1
15 oct 2022,Argentina,12
15 oct 2022,Indonesia,3
15 oct 2022,Bolivia,1
15 oct 2022,Oman,1
16 oct 2022,Argentina,5
16 oct 2022,China,2
16 oct 2022,Mexico,1
17 oct 2022,Argentina,8
17 oct 2022,China,1
18 oct 2022,Argentina,22
19 oct 2022,Argentina,29
19 oct 2022,Colombia,15
19 oct 2022,China,2
19 oct 2022,Mexico,2
19 oct 2022,Switzerland,2
19 oct 2022,Chile,1
19 oct 2022,Netherlands,1
20 oct 2022,Argentina,27
21 oct 2022,Argentina,45
21 oct 2022,China,1
21 oct 2022,Colombia,1
22 oct 2022,Argentina,21
22 oct 2022,Brazil,1
22 oct 2022,Colombia,1
23 oct 2022,Argentina,4
23 oct 2022,Colombia,2
23 oct 2022,Germany,1
23 oct 2022,Peru,1
24 oct 2022,Argentina,20
24 oct 2022,China,1
24 oct 2022,Indonesia,1
25 oct 2022,Argentina,26
25 oct 2022,Brazil,1
25 oct 2022,China,1
25 oct 2022,Colombia,1
26 oct 2022,Argentina,26
26 oct 2022,Bolivia,8
26 oct 2022,Mexico,3
26 oct 2022,China,1
26 oct 2022,Peru,1
27 oct 2022,Argentina,23
27 oct 2022,Mexico,1
28 oct 2022,Argentina,18
28 oct 2022,Mexico,1
29 oct 2022,Argentina,7
29 oct 2022,China,2
30 oct 2022,Argentina,21
30 oct 2022,Colombia,1
31 oct 2022,Argentina,18
31 oct 2022,China,1
31 oct 2022,Colombia,1
1 nov 2022,Argentina,21
1 nov 2022,Paraguay,4
1 nov 2022,India,1
1 nov 2022,Spain,1
2 nov 2022,Argentina,36
2 nov 2022,Colombia,3
2 nov 2022,France,2
2 nov 2022,Bolivia,1
2 nov 2022,Chile,1
2 nov 2022,China,1
3 nov 2022,Argentina,14
4 nov 2022,Argentina,4
4 nov 2022,Brazil,1
4 nov 2022,Netherlands,1
5 nov 2022,Argentina,2
5 nov 2022,China,1
5 nov 2022,Germany,1
6 nov 2022,Mexico,3
6 nov 2022,Peru,1
6 nov 2022,Spain,1
7 nov 2022,Argentina,27
7 nov 2022,China,1
7 nov 2022,Germany,1
8 nov 2022,Argentina,9
8 nov 2022,Mexico,1
9 nov 2022,Argentina,40
9 nov 2022,Canada,1
9 nov 2022,Mexico,1
9 nov 2022,Spain,1
9 nov 2022,Uruguay,1
10 nov 2022,Argentina,17
11 nov 2022,Argentina,16
11 nov 2022,Colombia,1
12 nov 2022,Argentina,9
12 nov 2022,Mexico,2
13 nov 2022,Argentina,5
13 nov 2022,China,1
14 nov 2022,Argentina,16
14 nov 2022,United States,1
15 nov 2022,Argentina,16
15 nov 2022,Brazil,1
15 nov 2022,Peru,1
16 nov 2022,Argentina,19
16 nov 2022,Colombia,4
16 nov 2022,China,1
16 nov 2022,Ecuador,1
16 nov 2022,Peru,0
17 nov 2022,Argentina,18
17 nov 2022,Peru,2
17 nov 2022,Colombia,0
18 nov 2022,Argentina,25
18 nov 2022,China,1
19 nov 2022,Argentina,24
19 nov 2022,Indonesia,1
20 nov 2022,Argentina,11
20 nov 2022,China,1
21 nov 2022,Argentina,8
21 nov 2022,Bolivia,1
21 nov 2022,China,1
21 nov 2022,Guatemala,1
22 nov 2022,Argentina,10
22 nov 2022,Mexico,1
22 nov 2022,Panama,1
22 nov 2022,Peru,1
23 nov 2022,Argentina,63
23 nov 2022,China,1
24 nov 2022,Argentina,9
24 nov 2022,Colombia,1
25 nov 2022,Argentina,9
26 nov 2022,Argentina,19
26 nov 2022,Panama,5
26 nov 2022,Mexico,1
27 nov 2022,Argentina,1
27 nov 2022,Panama,1
28 nov 2022,Argentina,15
28 nov 2022,Mexico,7
29 nov 2022,Argentina,9
30 nov 2022,Argentina,16
30 nov 2022,Brazil,1
30 nov 2022,China,1
1 dic 2022,Argentina,20
1 dic 2022,China,1
1 dic 2022,Venezuela,1
2 dic 2022,Argentina,3
3 dic 2022,Argentina,6
3 dic 2022,Spain,3
4 dic 2022,Argentina,17
4 dic 2022,Brazil,2
4 dic 2022,China,1
5 dic 2022,Argentina,10
5 dic 2022,China,1
6 dic 2022,Argentina,25
6 dic 2022,Brazil,1
6 dic 2022,China,1
7 dic 2022,Argentina,18
7 dic 2022,Colombia,2
7 dic 2022,Spain,2
7 dic 2022,China,1
8 dic 2022,Argentina,9
8 dic 2022,Colombia,1
9 dic 2022,Uruguay,2
9 dic 2022,Argentina,1
10 dic 2022,Argentina,4
10 dic 2022,United States,2
10 dic 2022,Paraguay,1
11 dic 2022,Argentina,2
11 dic 2022,United States,1
12 dic 2022,Argentina,13
12 dic 2022,China,2
12 dic 2022,Spain,1
13 dic 2022,Argentina,6
14 dic 2022,Argentina,4
14 dic 2022,Italy,1
14 dic 2022,South Korea,1
15 dic 2022,Argentina,9
15 dic 2022,Bolivia,1
15 dic 2022,Paraguay,1
15 dic 2022,Spain,1
16 dic 2022,Argentina,9
17 dic 2022,Argentina,3
17 dic 2022,Mexico,1
17 dic 2022,South Korea,1
18 dic 2022,Argentina,1
19 dic 2022,Argentina,15
19 dic 2022,United States,3
19 dic 2022,Germany,1
19 dic 2022,Greece,1
20 dic 2022,Argentina,5
21 dic 2022,Argentina,4
22 dic 2022,Argentina,3
23 dic 2022,Argentina,2
23 dic 2022,United States,1
24 dic 2022,Argentina,1
24 dic 2022,Spain,1
25 dic 2022,Argentina,4
26 dic 2022,Argentina,2
26 dic 2022,South Korea,1
26 dic 2022,United States,0
27 dic 2022,Argentina,2
27 dic 2022,Philippines,1
28 dic 2022,Argentina,1
29 dic 2022,Argentina,1
29 dic 2022,South Korea,1
30 dic 2022,Argentina,3
30 dic 2022,Brazil,1
30 dic 2022,United States,0
31 dic 2022,Argentina,2
1 ene 2023,Argentina,2
2 ene 2023,Argentina,4
3 ene 2023,Argentina,3
4 ene 2023,Argentina,8
5 ene 2023,Argentina,2
6 ene 2023,Argentina,3
7 ene 2023,Argentina,1
7 ene 2023,Chile,1
8 ene 2023,Argentina,4
8 ene 2023,Costa Rica,2
9 ene 2023,Argentina,2
9 ene 2023,Mexico,2
9 ene 2023,Spain,1
10 ene 2023,Paraguay,1
11 ene 2023,Ecuador,1
13 ene 2023,Mexico,4
13 ene 2023,Argentina,2
14 ene 2023,Argentina,3
15 ene 2023,Argentina,2
16 ene 2023,Argentina,3
16 ene 2023,Morocco,1
17 ene 2023,Peru,2
18 ene 2023,Peru,2
18 ene 2023,Argentina,1
19 ene 2023,United States,1
20 ene 2023,Argentina,2
20 ene 2023,Bolivia,1
21 ene 2023,Argentina,4
21 ene 2023,Germany,1
21 ene 2023,Peru,1
22 ene 2023,Argentina,3
23 ene 2023,Argentina,1
24 ene 2023,Argentina,4
24 ene 2023,China,1
25 ene 2023,Argentina,4
26 ene 2023,Argentina,5
27 ene 2023,Argentina,7
27 ene 2023,China,1
28 ene 2023,Argentina,2
29 ene 2023,Argentina,1
29 ene 2023,Venezuela,1
30 ene 2023,Argentina,8
30 ene 2023,Chile,1
31 ene 2023,Argentina,11
1 feb 2023,Argentina,1
2 feb 2023,Argentina,7
2 feb 2023,Mexico,1
3 feb 2023,Argentina,6
3 feb 2023,China,1
3 feb 2023,Mexico,1
4 feb 2023,Argentina,3
4 feb 2023,China,1
4 feb 2023,Mexico,1
5 feb 2023,Argentina,2
6 feb 2023,Argentina,10
7 feb 2023,Argentina,16
7 feb 2023,Indonesia,1
8 feb 2023,Argentina,9
9 feb 2023,Argentina,8
10 feb 2023,Argentina,8
11 feb 2023,Argentina,4
12 feb 2023,Argentina,7
12 feb 2023,Germany,1
13 feb 2023,Argentina,8
13 feb 2023,Chile,1
13 feb 2023,Philippines,1
14 feb 2023,Argentina,18
14 feb 2023,Philippines,2
14 feb 2023,Brazil,1
15 feb 2023,Argentina,11
15 feb 2023,Croatia,1
15 feb 2023,Ireland,1
16 feb 2023,Argentina,13
16 feb 2023,Brazil,1
16 feb 2023,United States,1
16 feb 2023,Uruguay,1
17 feb 2023,Argentina,26
17 feb 2023,China,1
17 feb 2023,Dominican Republic,1
17 feb 2023,Indonesia,1
18 feb 2023,Brazil,1
19 feb 2023,Argentina,1
20 feb 2023,Argentina,1
20 feb 2023,Ireland,1
20 feb 2023,Mexico,1
21 feb 2023,China,2
21 feb 2023,Argentina,1
21 feb 2023,Hungary,1
22 feb 2023,Argentina,10
22 feb 2023,United States,1
23 feb 2023,Argentina,8
23 feb 2023,Brazil,1
23 feb 2023,Chile,1
23 feb 2023,Iran,1
23 feb 2023,Mexico,1
24 feb 2023,Argentina,4
24 feb 2023,China,2
24 feb 2023,Peru,1
25 feb 2023,Argentina,8
25 feb 2023,Colombia,2
25 feb 2023,China,1
25 feb 2023,Mexico,1
25 feb 2023,Panama,1
26 feb 2023,Argentina,5
26 feb 2023,Spain,5
26 feb 2023,Brazil,2
26 feb 2023,Peru,2
26 feb 2023,Ecuador,1
27 feb 2023,Argentina,22
27 feb 2023,Israel,2
27 feb 2023,Chile,1
27 feb 2023,China,1
27 feb 2023,Colombia,1
27 feb 2023,Iran,1
27 feb 2023,Spain,1
27 feb 2023,United Kingdom,1
28 feb 2023,Argentina,33
28 feb 2023,Iran,4
28 feb 2023,Mexico,3
28 feb 2023,Colombia,1
1 mar 2023,Argentina,39
1 mar 2023,Bosnia & Herzegovina,1
1 mar 2023,France,1
1 mar 2023,Iran,1
1 mar 2023,Mexico,1
2 mar 2023,Argentina,36
2 mar 2023,China,1
2 mar 2023,Iran,1
2 mar 2023,United States,1
3 mar 2023,Argentina,36
3 mar 2023,(not set),1
3 mar 2023,Iran,1
3 mar 2023,Mexico,1
4 mar 2023,Argentina,8
4 mar 2023,(not set),1
4 mar 2023,Mexico,1
4 mar 2023,United States,1
5 mar 2023,Argentina,10
5 mar 2023,Iran,2
5 mar 2023,Chile,1
5 mar 2023,Guatemala,1
5 mar 2023,Peru,1
5 mar 2023,Russia,1
6 mar 2023,Argentina,24
6 mar 2023,Mexico,3
6 mar 2023,China,1
6 mar 2023,Iran,1
6 mar 2023,Peru,1
6 mar 2023,Venezuela,1
6 mar 2023,Guatemala,0
7 mar 2023,Argentina,14
7 mar 2023,Chile,1
7 mar 2023,China,1
7 mar 2023,Iran,1
7 mar 2023,Mexico,1
7 mar 2023,Peru,1
8 mar 2023,Argentina,24
8 mar 2023,Paraguay,3
8 mar 2023,Chile,1
8 mar 2023,China,1
9 mar 2023,Argentina,9
9 mar 2023,China,1
9 mar 2023,Iran,1
9 mar 2023,Mexico,1
10 mar 2023,Argentina,24
10 mar 2023,Chile,1
11 mar 2023,Argentina,7
11 mar 2023,Brazil,3
11 mar 2023,Mexico,1
12 mar 2023,Mexico,3
12 mar 2023,Argentina,2
12 mar 2023,Bolivia,1
12 mar 2023,China,1
12 mar 2023,United Kingdom,1
13 mar 2023,Argentina,17
13 mar 2023,Uruguay,2
13 mar 2023,China,1
14 mar 2023,Argentina,15
14 mar 2023,Mexico,1
14 mar 2023,Peru,1
15 mar 2023,Argentina,48
15 mar 2023,Italy,1
15 mar 2023,United States,0
16 mar 2023,Argentina,30
16 mar 2023,Iran,3
16 mar 2023,Colombia,1
16 mar 2023,Dominican Republic,1
16 mar 2023,Uruguay,1
17 mar 2023,Argentina,22
17 mar 2023,Colombia,1
17 mar 2023,Iran,1
18 mar 2023,Argentina,25
18 mar 2023,Iran,2
18 mar 2023,Colombia,1
18 mar 2023,Peru,1
19 mar 2023,Argentina,6
19 mar 2023,Germany,3
19 mar 2023,China,1
19 mar 2023,Hungary,1
19 mar 2023,Paraguay,1
19 mar 2023,Uruguay,1
20 mar 2023,Argentina,27
20 mar 2023,Greece,1
20 mar 2023,Ireland,1
20 mar 2023,Spain,1
21 mar 2023,Argentina,21
21 mar 2023,China,2
21 mar 2023,Colombia,1
21 mar 2023,Indonesia,1
21 mar 2023,Italy,1
21 mar 2023,Spain,1
22 mar 2023,Argentina,24
23 mar 2023,Argentina,18
23 mar 2023,Mexico,2
24 mar 2023,Argentina,2
24 mar 2023,Bolivia,1
24 mar 2023,China,1
24 mar 2023,United Kingdom,1
25 mar 2023,Argentina,4
25 mar 2023,Ecuador,2
25 mar 2023,Mexico,2
25 mar 2023,Bolivia,1
25 mar 2023,Venezuela,1
26 mar 2023,Argentina,4
26 mar 2023,Iran,2
26 mar 2023,Spain,2
26 mar 2023,Chile,1
26 mar 2023,Colombia,1
26 mar 2023,Ireland,1
26 mar 2023,Nicaragua,1
26 mar 2023,Paraguay,1
26 mar 2023,Sweden,1
27 mar 2023,Argentina,7
27 mar 2023,Netherlands,1
27 mar 2023,Spain,1
27 mar 2023,Colombia,0
28 mar 2023,Argentina,14
28 mar 2023,Brazil,2
28 mar 2023,Bulgaria,1
28 mar 2023,United States,1
29 mar 2023,Argentina,19
29 mar 2023,Ecuador,5
29 mar 2023,China,1
29 mar 2023,Iran,1
29 mar 2023,Mexico,1
30 mar 2023,Argentina,15
30 mar 2023,China,1
30 mar 2023,Germany,1
30 mar 2023,Iran,1
30 mar 2023,Peru,1
31 mar 2023,Argentina,97
31 mar 2023,Ecuador,2
1 abr 2023,Argentina,18
1 abr 2023,Chile,3
1 abr 2023,Italy,1
2 abr 2023,Argentina,7
2 abr 2023,Albania,1
2 abr 2023,Brazil,1
2 abr 2023,China,1
2 abr 2023,Colombia,1
2 abr 2023,Hungary,1
2 abr 2023,Mexico,1
2 abr 2023,Uruguay,1
2 abr 2023,Venezuela,1
3 abr 2023,Argentina,23
3 abr 2023,Venezuela,1
4 abr 2023,Argentina,20
4 abr 2023,Iran,5
4 abr 2023,Ecuador,2
4 abr 2023,Chile,1
4 abr 2023,Italy,1
4 abr 2023,Peru,1
5 abr 2023,Argentina,11
5 abr 2023,Peru,1
5 abr 2023,Ukraine,1
6 abr 2023,Argentina,6
6 abr 2023,(not set),1
6 abr 2023,Brazil,1
6 abr 2023,China,1
6 abr 2023,Iraq,1
7 abr 2023,Argentina,7
7 abr 2023,Panama,1
7 abr 2023,Peru,1
8 abr 2023,Argentina,9
8 abr 2023,(not set),1
8 abr 2023,Chile,1
8 abr 2023,Mexico,1
8 abr 2023,United States,1
8 abr 2023,Peru,0
9 abr 2023,Argentina,18
9 abr 2023,China,1
10 abr 2023,Argentina,4
10 abr 2023,Mexico,1
11 abr 2023,Argentina,6
11 abr 2023,Mexico,0
12 abr 2023,Argentina,57
12 abr 2023,China,1
13 abr 2023,Argentina,30
13 abr 2023,Ireland,0
14 abr 2023,Argentina,16
14 abr 2023,China,1
14 abr 2023,United States,1
14 abr 2023,Sweden,0
15 abr 2023,Argentina,10
16 abr 2023,Argentina,10
16 abr 2023,Spain,2
16 abr 2023,China,1
16 abr 2023,Czechia,1
16 abr 2023,El Salvador,1
16 abr 2023,Mexico,1
16 abr 2023,Venezuela,1
16 abr 2023,United States,0
17 abr 2023,Argentina,21
17 abr 2023,Mexico,1
18 abr 2023,Argentina,21
18 abr 2023,China,1
18 abr 2023,Peru,1
19 abr 2023,Argentina,22
20 abr 2023,Argentina,36
20 abr 2023,Peru,3
20 abr 2023,United States,1
20 abr 2023,Uruguay,1
21 abr 2023,Argentina,27
22 abr 2023,Argentina,34
22 abr 2023,Paraguay,2
22 abr 2023,Ecuador,1
22 abr 2023,Iran,1
22 abr 2023,Russia,1
22 abr 2023,Spain,1
23 abr 2023,Argentina,47
23 abr 2023,Brazil,2
23 abr 2023,China,1
23 abr 2023,Mexico,1
23 abr 2023,Peru,1
24 abr 2023,Argentina,24
24 abr 2023,Algeria,1
24 abr 2023,China,1
24 abr 2023,Niger,1
25 abr 2023,Argentina,4
25 abr 2023,China,4
25 abr 2023,Bolivia,1
25 abr 2023,Chile,1
25 abr 2023,India,1
26 abr 2023,Argentina,38
26 abr 2023,India,2
26 abr 2023,Colombia,1
27 abr 2023,Argentina,86
27 abr 2023,Ecuador,1
27 abr 2023,Mexico,1
27 abr 2023,Paraguay,1
28 abr 2023,Argentina,24
28 abr 2023,Paraguay,2
28 abr 2023,Peru,1
29 abr 2023,Argentina,40
29 abr 2023,Chile,1
29 abr 2023,China,1
30 abr 2023,Argentina,30
30 abr 2023,Spain,1
1 may 2023,Argentina,14
2 may 2023,Argentina,52
2 may 2023,Peru,3
2 may 2023,China,2
2 may 2023,Indonesia,2
2 may 2023,Paraguay,2
2 may 2023,Chile,1
2 may 2023,Costa Rica,1
2 may 2023,Mexico,1
3 may 2023,Argentina,100
3 may 2023,Paraguay,3
3 may 2023,Indonesia,2
3 may 2023,Spain,1
3 may 2023,Switzerland,1
3 may 2023,United Kingdom,1
3 may 2023,China,0
4 may 2023,Argentina,85
4 may 2023,Chile,1
4 may 2023,Paraguay,1
5 may 2023,Argentina,35
5 may 2023,Paraguay,5
5 may 2023,Ecuador,2
5 may 2023,Uruguay,1
6 may 2023,Argentina,82
6 may 2023,Paraguay,3
6 may 2023,Cuba,2
6 may 2023,Chile,1
6 may 2023,China,1
6 may 2023,Curaçao,1
6 may 2023,Ecuador,1
6 may 2023,Indonesia,1
6 may 2023,Mexico,1
6 may 2023,Panama,1
7 may 2023,Argentina,33
7 may 2023,China,1
7 may 2023,Colombia,1
7 may 2023,Indonesia,1
7 may 2023,United States,1
8 may 2023,Argentina,58
8 may 2023,China,5
8 may 2023,Paraguay,3
8 may 2023,Venezuela,1
9 may 2023,Argentina,47
9 may 2023,China,3
9 may 2023,Chile,1
9 may 2023,Indonesia,1
9 may 2023,Mexico,1
9 may 2023,Paraguay,1
10 may 2023,Argentina,69
10 may 2023,(not set),2
10 may 2023,China,2
10 may 2023,Paraguay,2
10 may 2023,United States,1
11 may 2023,Argentina,75
11 may 2023,Colombia,3
11 may 2023,Indonesia,2
11 may 2023,Paraguay,2
11 may 2023,United States,2
11 may 2023,Spain,1
12 may 2023,Argentina,48
12 may 2023,Paraguay,4
12 may 2023,Colombia,1
12 may 2023,Dominican Republic,1
12 may 2023,Iran,1
12 may 2023,Uruguay,1
13 may 2023,Argentina,98
13 may 2023,Ecuador,1
13 may 2023,United States,1
14 may 2023,Argentina,36
14 may 2023,(not set),2
15 may 2023,Argentina,33
15 may 2023,China,1
15 may 2023,Indonesia,1
15 may 2023,Paraguay,1
16 may 2023,Argentina,96
16 may 2023,Paraguay,4
16 may 2023,Chile,2
16 may 2023,Iran,2
16 may 2023,Peru,1
17 may 2023,Argentina,67
17 may 2023,Brazil,1
17 may 2023,Ecuador,1
17 may 2023,Indonesia,1
17 may 2023,Paraguay,1
17 may 2023,United States,1
18 may 2023,Argentina,104
18 may 2023,Mexico,2
18 may 2023,Costa Rica,1
18 may 2023,Paraguay,1
19 may 2023,Argentina,67
19 may 2023,Paraguay,2
19 may 2023,Iran,1
20 may 2023,Argentina,105
20 may 2023,Chile,1
20 may 2023,China,1
20 may 2023,Paraguay,1
20 may 2023,United States,1
21 may 2023,Argentina,28
21 may 2023,Indonesia,9
21 may 2023,China,1
21 may 2023,Paraguay,1
22 may 2023,Argentina,60
22 may 2023,Paraguay,3
22 may 2023,China,1
22 may 2023,Netherlands,1
23 may 2023,Argentina,66
23 may 2023,Chile,4
23 may 2023,Panama,3
23 may 2023,Peru,2
