Fecha,País,Número de vistas de página
18 jun 2019,Ecuador,2
18 jun 2019,Argentina,158
18 jun 2019,Hong Kong,1
19 jun 2019,Argentina,31
19 jun 2019,Slovakia,2
20 jun 2019,Mexico,2
20 jun 2019,Argentina,71
21 jun 2019,Paraguay,7
21 jun 2019,Nigeria,3
21 jun 2019,Argentina,173
22 jun 2019,Argentina,23
22 jun 2019,Paraguay,1
22 jun 2019,United States,1
23 jun 2019,Mexico,2
23 jun 2019,Argentina,41
24 jun 2019,Argentina,66
24 jun 2019,Paraguay,5
25 jun 2019,Peru,1
25 jun 2019,Paraguay,2
25 jun 2019,Argentina,112
26 jun 2019,Argentina,126
26 jun 2019,Brazil,4
27 jun 2019,Paraguay,5
27 jun 2019,Argentina,93
27 jun 2019,Brazil,1
27 jun 2019,Peru,1
27 jun 2019,Venezuela,2
27 jun 2019,Colombia,1
28 jun 2019,Argentina,85
28 jun 2019,Brazil,10
28 jun 2019,Paraguay,2
28 jun 2019,Guatemala,1
29 jun 2019,Argentina,70
30 jun 2019,Hong Kong,1
30 jun 2019,Mexico,2
30 jun 2019,Argentina,111
1 jul 2019,Spain,1
1 jul 2019,Paraguay,3
1 jul 2019,El Salvador,1
1 jul 2019,Peru,1
1 jul 2019,Venezuela,6
1 jul 2019,Brazil,1
1 jul 2019,Argentina,84
2 jul 2019,India,3
2 jul 2019,Argentina,134
2 jul 2019,Colombia,1
3 jul 2019,Argentina,120
3 jul 2019,Dominican Republic,9
3 jul 2019,India,7
3 jul 2019,United States,3
3 jul 2019,Brazil,2
4 jul 2019,Argentina,85
4 jul 2019,Hong Kong,1
5 jul 2019,Mexico,1
5 jul 2019,Colombia,4
5 jul 2019,United States,1
5 jul 2019,Argentina,108
6 jul 2019,Argentina,84
7 jul 2019,Paraguay,1
7 jul 2019,Argentina,4
8 jul 2019,Argentina,63
8 jul 2019,Hong Kong,1
9 jul 2019,Argentina,69
10 jul 2019,Hong Kong,1
10 jul 2019,Australia,4
10 jul 2019,Argentina,98
11 jul 2019,Argentina,91
11 jul 2019,Paraguay,1
11 jul 2019,Brazil,8
11 jul 2019,Peru,4
12 jul 2019,Hong Kong,1
12 jul 2019,Peru,1
12 jul 2019,Paraguay,22
12 jul 2019,Argentina,32
12 jul 2019,Ecuador,1
13 jul 2019,Argentina,75
14 jul 2019,Argentina,16
15 jul 2019,Argentina,56
16 jul 2019,Brazil,4
16 jul 2019,Argentina,27
17 jul 2019,Argentina,25
18 jul 2019,United States,1
18 jul 2019,Mexico,1
18 jul 2019,Argentina,49
19 jul 2019,Argentina,96
20 jul 2019,Mexico,1
20 jul 2019,Argentina,27
20 jul 2019,France,1
21 jul 2019,Argentina,33
22 jul 2019,Argentina,159
22 jul 2019,Paraguay,1
22 jul 2019,Colombia,38
22 jul 2019,Mexico,1
23 jul 2019,Mexico,1
23 jul 2019,Argentina,1
24 jul 2019,Argentina,52
24 jul 2019,Mexico,1
24 jul 2019,Paraguay,1
25 jul 2019,Argentina,49
25 jul 2019,Mexico,1
26 jul 2019,Argentina,85
27 jul 2019,Mexico,1
27 jul 2019,Paraguay,1
27 jul 2019,Argentina,18
28 jul 2019,Argentina,39
28 jul 2019,(not set),2
28 jul 2019,United States,1
29 jul 2019,(not set),4
29 jul 2019,Argentina,126
29 jul 2019,Portugal,1
30 jul 2019,Mexico,4
30 jul 2019,India,1
30 jul 2019,Argentina,190
31 jul 2019,Peru,1
31 jul 2019,Argentina,80
31 jul 2019,France,2
31 jul 2019,United States,1
31 jul 2019,Mexico,1
1 ago 2019,Argentina,167
1 ago 2019,Brazil,3
1 ago 2019,(not set),4
2 ago 2019,Argentina,163
3 ago 2019,Argentina,77
4 ago 2019,Argentina,25
4 ago 2019,Colombia,7
5 ago 2019,Argentina,87
5 ago 2019,Mexico,1
6 ago 2019,Mexico,6
6 ago 2019,Argentina,114
7 ago 2019,Ecuador,5
7 ago 2019,Argentina,71
8 ago 2019,Brazil,1
8 ago 2019,Mexico,3
8 ago 2019,Argentina,244
8 ago 2019,Paraguay,1
9 ago 2019,Mexico,1
9 ago 2019,Paraguay,2
9 ago 2019,Argentina,104
10 ago 2019,Argentina,41
10 ago 2019,Brazil,5
11 ago 2019,Paraguay,2
11 ago 2019,Argentina,34
12 ago 2019,Mexico,2
12 ago 2019,Argentina,99
12 ago 2019,Chile,7
12 ago 2019,Germany,1
13 ago 2019,Mexico,6
13 ago 2019,Argentina,187
14 ago 2019,Germany,1
14 ago 2019,United States,2
14 ago 2019,Argentina,57
14 ago 2019,Brazil,10
14 ago 2019,Netherlands,3
14 ago 2019,Paraguay,1
15 ago 2019,Sweden,1
15 ago 2019,Brazil,2
15 ago 2019,Argentina,82
16 ago 2019,Argentina,105
16 ago 2019,Chile,4
17 ago 2019,Argentina,33
17 ago 2019,Panama,1
18 ago 2019,Argentina,47
18 ago 2019,Spain,2
18 ago 2019,(not set),1
19 ago 2019,Mexico,6
19 ago 2019,Argentina,47
19 ago 2019,Paraguay,1
20 ago 2019,Brazil,5
20 ago 2019,Peru,1
20 ago 2019,Mexico,1
20 ago 2019,Argentina,137
21 ago 2019,Argentina,94
22 ago 2019,Mexico,1
22 ago 2019,Argentina,291
22 ago 2019,Paraguay,2
23 ago 2019,Puerto Rico,5
23 ago 2019,Argentina,286
23 ago 2019,Uganda,2
23 ago 2019,Costa Rica,1
24 ago 2019,Argentina,66
24 ago 2019,Mexico,1
24 ago 2019,Spain,17
25 ago 2019,Brazil,1
25 ago 2019,Argentina,158
25 ago 2019,Peru,1
26 ago 2019,United States,2
26 ago 2019,Paraguay,19
26 ago 2019,Argentina,187
27 ago 2019,Paraguay,9
27 ago 2019,United States,1
27 ago 2019,Mexico,1
27 ago 2019,Argentina,275
27 ago 2019,Dominican Republic,1
27 ago 2019,Brazil,2
28 ago 2019,Argentina,182
28 ago 2019,Colombia,29
29 ago 2019,Canada,1
29 ago 2019,Argentina,284
30 ago 2019,United States,1
30 ago 2019,Argentina,104
30 ago 2019,Mexico,1
31 ago 2019,United States,1
31 ago 2019,Argentina,73
1 sept 2019,Argentina,20
1 sept 2019,Italy,1
2 sept 2019,Argentina,92
3 sept 2019,Colombia,1
3 sept 2019,Argentina,44
4 sept 2019,Argentina,226
4 sept 2019,Colombia,1
4 sept 2019,Mexico,2
4 sept 2019,Ecuador,2
4 sept 2019,United States,1
4 sept 2019,Spain,1
5 sept 2019,Sweden,3
5 sept 2019,Spain,1
5 sept 2019,Brazil,1
5 sept 2019,United States,1
5 sept 2019,Argentina,293
5 sept 2019,Peru,1
6 sept 2019,Argentina,125
6 sept 2019,Puerto Rico,1
6 sept 2019,United States,1
6 sept 2019,Brazil,1
6 sept 2019,Mexico,1
7 sept 2019,Argentina,118
7 sept 2019,Spain,1
7 sept 2019,Australia,1
8 sept 2019,Canada,1
8 sept 2019,United States,1
8 sept 2019,Paraguay,1
8 sept 2019,Argentina,53
8 sept 2019,Spain,3
9 sept 2019,United States,1
9 sept 2019,Brazil,3
9 sept 2019,Sweden,1
9 sept 2019,Argentina,194
10 sept 2019,Argentina,65
10 sept 2019,Spain,122
10 sept 2019,Mexico,2
10 sept 2019,Peru,1
11 sept 2019,Argentina,147
12 sept 2019,Argentina,125
12 sept 2019,Paraguay,7
13 sept 2019,Bolivia,1
13 sept 2019,Argentina,131
13 sept 2019,United States,4
14 sept 2019,Argentina,23
14 sept 2019,United States,2
15 sept 2019,Peru,1
15 sept 2019,Panama,2
15 sept 2019,Nicaragua,2
15 sept 2019,Argentina,32
16 sept 2019,Brazil,6
16 sept 2019,Colombia,1
16 sept 2019,Argentina,416
16 sept 2019,Spain,1
17 sept 2019,Brazil,1
17 sept 2019,Argentina,351
17 sept 2019,Spain,11
17 sept 2019,Germany,2
17 sept 2019,Georgia,1
18 sept 2019,Argentina,244
19 sept 2019,Mexico,1
19 sept 2019,Argentina,110
19 sept 2019,Paraguay,2
20 sept 2019,Colombia,4
20 sept 2019,France,1
20 sept 2019,Argentina,64
20 sept 2019,Peru,1
21 sept 2019,Argentina,29
21 sept 2019,Brazil,3
22 sept 2019,Mexico,1
22 sept 2019,United States,1
22 sept 2019,Argentina,15
22 sept 2019,Brazil,5
23 sept 2019,Argentina,397
23 sept 2019,Panama,1
23 sept 2019,Peru,2
23 sept 2019,Spain,1
23 sept 2019,Chile,1
24 sept 2019,Paraguay,2
24 sept 2019,Argentina,81
24 sept 2019,Peru,2
25 sept 2019,Argentina,95
26 sept 2019,Argentina,75
26 sept 2019,Spain,3
26 sept 2019,Mexico,1
26 sept 2019,Brazil,1
27 sept 2019,Paraguay,1
27 sept 2019,Argentina,61
28 sept 2019,Argentina,55
30 sept 2019,Argentina,91
30 sept 2019,Ecuador,1
1 oct 2019,Guatemala,1
1 oct 2019,Argentina,110
1 oct 2019,Paraguay,1
2 oct 2019,United States,2
2 oct 2019,Ecuador,1
2 oct 2019,Argentina,98
3 oct 2019,Mexico,2
3 oct 2019,United States,1
3 oct 2019,Argentina,200
3 oct 2019,Ecuador,2
4 oct 2019,France,2
4 oct 2019,Argentina,162
4 oct 2019,Mexico,1
5 oct 2019,Argentina,98
5 oct 2019,Colombia,4
6 oct 2019,Argentina,57
6 oct 2019,Chile,1
6 oct 2019,Colombia,1
7 oct 2019,Peru,1
7 oct 2019,United States,2
7 oct 2019,Argentina,165
8 oct 2019,Paraguay,1
8 oct 2019,Argentina,33
8 oct 2019,United States,6
8 oct 2019,Colombia,4
9 oct 2019,Mexico,1
9 oct 2019,Argentina,50
9 oct 2019,Peru,2
10 oct 2019,United States,2
10 oct 2019,El Salvador,1
10 oct 2019,Argentina,106
10 oct 2019,India,1
