,Fecha,Vistas,Usuarios nuevos,Total de usuarios,Sesiones por usuario,Sesiones,mobile Vistas,mobile Usuarios nuevos,mobile Total de usuarios,mobile Sesiones por usuario,mobile Sesiones,desktop Vistas,desktop Usuarios nuevos,desktop Total de usuarios,desktop Sesiones por usuario,desktop Sesiones,tablet Vistas,tablet Usuarios nuevos,tablet Total de usuarios,tablet Sesiones por usuario,tablet Sesiones
39,23 jul 2022,16,8,8,2.0,8,10.0,5.0,5.0,1.0,5.0,6.0,3.0,3.0,1.0,3.0,,,,,
40,24 jul 2022,1,1,1,1.0,1,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,
41,25 jul 2022,12,6,6,2.5,7,6.0,2.0,2.0,1.5,3.0,6.0,4.0,4.0,1.0,4.0,,,,,
42,26 jul 2022,2,2,3,2.0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,,,,,
43,27 jul 2022,14,8,9,2.0,9,3.0,3.0,3.0,1.0,3.0,11.0,5.0,6.0,1.0,6.0,,,,,
44,28 jul 2022,50,15,17,2.3269230769230766,19,40.0,12.0,13.0,1.0769230769230769,14.0,10.0,3.0,4.0,1.25,5.0,,,,,
45,29 jul 2022,10,9,9,2.0,9,4.0,4.0,4.0,1.0,4.0,6.0,5.0,5.0,1.0,5.0,,,,,
46,30 jul 2022,5,4,4,2.0,4,2.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,3.0,,,,,
47,31 jul 2022,2,2,3,2.0,3,2.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,1.0,,,,,
48,1 ago 2022,36,14,17,2.166666666666667,19,29.0,9.0,12.0,1.1666666666666667,14.0,7.0,5.0,5.0,1.0,5.0,,,,,
49,2 ago 2022,37,15,24,2.7142857142857144,29,25.0,12.0,16.0,1.4285714285714286,20.0,12.0,3.0,8.0,1.2857142857142858,9.0,,,,,
50,3 ago 2022,61,21,33,2.6444444444444444,38,42.0,15.0,22.0,1.4444444444444444,26.0,19.0,6.0,11.0,1.2,12.0,,,,,
51,4 ago 2022,33,15,20,2.25,22,9.0,6.0,7.0,1.0,7.0,24.0,9.0,13.0,1.25,15.0,,,,,
52,5 ago 2022,18,14,14,2.0,14,9.0,6.0,6.0,1.0,6.0,9.0,8.0,8.0,1.0,8.0,,,,,
53,6 ago 2022,8,6,6,2.0,6,1.0,1.0,1.0,1.0,1.0,7.0,5.0,5.0,1.0,5.0,,,,,
54,7 ago 2022,7,4,5,2.333333333333333,5,6.0,3.0,4.0,1.3333333333333333,4.0,1.0,1.0,1.0,1.0,1.0,,,,,
55,8 ago 2022,76,12,21,2.5656565656565657,26,29.0,8.0,10.0,1.1111111111111112,10.0,47.0,4.0,11.0,1.4545454545454546,16.0,,,,,
56,9 ago 2022,57,17,22,2.367647058823529,24,6.0,3.0,5.0,1.25,5.0,51.0,14.0,17.0,1.1176470588235294,19.0,,,,,
57,10 ago 2022,94,37,42,2.2899159663865545,47,79.0,32.0,35.0,1.1470588235294117,39.0,15.0,5.0,7.0,1.1428571428571428,8.0,,,,,
58,11 ago 2022,48,18,27,2.4285714285714293,29,27.0,12.0,18.0,1.4285714285714286,20.0,21.0,6.0,9.0,1.0,9.0,,,,,
59,12 ago 2022,32,13,18,2.7222222222222223,20,11.0,6.0,9.0,1.5,9.0,21.0,7.0,9.0,1.2222222222222223,11.0,,,,,
60,13 ago 2022,6,6,6,2.0,6,5.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,1.0,,,,,
61,14 ago 2022,4,3,4,2.5,5,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.5,3.0,,,,,
62,15 ago 2022,13,5,5,2.0,5,3.0,2.0,2.0,1.0,2.0,10.0,3.0,3.0,1.0,3.0,,,,,
63,16 ago 2022,94,19,25,2.5846153846153843,30,25.0,9.0,12.0,1.2,12.0,69.0,10.0,13.0,1.3846153846153846,18.0,,,,,
64,17 ago 2022,34,10,18,2.793650793650793,22,21.0,6.0,10.0,1.2222222222222223,11.0,13.0,4.0,8.0,1.5714285714285714,11.0,,,,,
65,18 ago 2022,39,16,22,2.333333333333333,23,27.0,12.0,17.0,1.1333333333333333,17.0,12.0,4.0,5.0,1.2,6.0,,,,,
66,19 ago 2022,23,11,15,2.25,15,10.0,3.0,5.0,1.25,5.0,13.0,8.0,10.0,1.0,10.0,,,,,
67,20 ago 2022,13,4,7,2.666666666666667,8,7.0,3.0,4.0,1.6666666666666667,5.0,6.0,1.0,3.0,1.0,3.0,,,,,
68,21 ago 2022,5,5,5,2.5,6,3.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,1.5,3.0,,,,,
69,22 ago 2022,20,11,15,2.5535714285714293,19,10.0,5.0,7.0,1.4285714285714286,10.0,10.0,6.0,8.0,1.125,9.0,,,,,
70,23 ago 2022,15,4,8,3.0,9,8.0,3.0,3.0,1.0,3.0,7.0,1.0,5.0,2.0,6.0,,,,,
71,24 ago 2022,102,32,34,2.5217391304347827,45,87.0,22.0,24.0,1.5217391304347827,35.0,15.0,10.0,10.0,1.0,10.0,,,,,
72,25 ago 2022,45,15,22,3.166666666666667,26,21.0,6.0,10.0,2.0,12.0,24.0,9.0,12.0,1.1666666666666667,14.0,,,,,
73,26 ago 2022,28,10,15,2.666666666666667,16,13.0,6.0,8.0,1.5,9.0,15.0,4.0,7.0,1.1666666666666667,7.0,,,,,
74,27 ago 2022,28,8,11,2.416666666666667,12,11.0,5.0,7.0,1.1666666666666667,7.0,17.0,3.0,4.0,1.25,5.0,,,,,
75,28 ago 2022,26,14,16,2.4444444444444446,18,10.0,6.0,7.0,1.3333333333333333,8.0,16.0,8.0,9.0,1.1111111111111112,10.0,,,,,
76,29 ago 2022,49,10,12,2.5,13,8.0,4.0,5.0,1.5,6.0,41.0,6.0,7.0,1.0,7.0,,,,,
77,30 ago 2022,89,8,12,2.4444444444444446,16,5.0,3.0,3.0,1.0,3.0,84.0,5.0,9.0,1.4444444444444444,13.0,,,,,
78,31 ago 2022,22,4,7,1.3333333333333333,8,,,,,,22.0,4.0,7.0,1.3333333333333333,8.0,,,,,
79,1 sept 2022,17,8,11,2.125,12,5.0,3.0,3.0,1.0,3.0,12.0,5.0,8.0,1.125,9.0,,,,,
80,2 sept 2022,31,5,6,5.6,12,13.0,4.0,5.0,1.6,8.0,18.0,1.0,1.0,4.0,4.0,,,,,
81,3 sept 2022,22,8,9,2.75,11,5.0,4.0,4.0,1.0,4.0,17.0,4.0,5.0,1.75,7.0,,,,,
82,4 sept 2022,4,1,3,4.0,4,2.0,0.0,1.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,,,,,
83,5 sept 2022,26,9,13,2.142857142857143,14,13.0,6.0,6.0,1.0,6.0,13.0,3.0,7.0,1.1428571428571428,8.0,,,,,
84,6 sept 2022,45,16,18,2.625,24,29.0,10.0,10.0,1.5,15.0,16.0,6.0,8.0,1.125,9.0,,,,,
85,7 sept 2022,45,18,24,2.682539682539683,32,34.0,12.0,15.0,1.5714285714285714,22.0,11.0,6.0,9.0,1.1111111111111112,10.0,,,,,
86,8 sept 2022,72,21,30,2.8545454545454545,37,27.0,9.0,13.0,1.4545454545454546,16.0,45.0,12.0,17.0,1.4,21.0,,,,,
87,9 sept 2022,26,11,16,2.583333333333333,18,11.0,5.0,8.0,1.3333333333333333,8.0,15.0,6.0,8.0,1.25,10.0,,,,,
88,10 sept 2022,34,11,18,2.4444444444444446,19,23.0,7.0,12.0,1.4444444444444444,13.0,11.0,4.0,6.0,1.0,6.0,,,,,
89,11 sept 2022,7,5,5,2.0,5,4.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,,,,,
90,12 sept 2022,13,8,12,2.416666666666667,12,8.0,6.0,7.0,1.1666666666666667,7.0,5.0,2.0,5.0,1.25,5.0,,,,,
91,13 sept 2022,39,13,16,2.7333333333333334,19,13.0,8.0,10.0,1.3333333333333333,12.0,26.0,5.0,6.0,1.4,7.0,,,,,
92,14 sept 2022,19,12,15,2.267857142857143,17,9.0,7.0,7.0,1.1428571428571428,8.0,10.0,5.0,8.0,1.125,9.0,,,,,
93,15 sept 2022,72,31,36,2.25,39,38.0,19.0,20.0,1.05,21.0,34.0,12.0,16.0,1.2,18.0,,,,,
94,16 sept 2022,22,10,16,2.4444444444444446,17,18.0,7.0,12.0,1.4444444444444444,13.0,4.0,3.0,4.0,1.0,4.0,,,,,
95,17 sept 2022,17,9,9,2.0,9,15.0,8.0,8.0,1.0,8.0,2.0,1.0,1.0,1.0,1.0,,,,,
96,18 sept 2022,4,2,3,5.0,5,2.0,1.0,2.0,3.0,3.0,,,,,,2.0,1.0,1.0,2.0,2.0
97,19 sept 2022,33,13,18,2.4393939393939394,21,14.0,5.0,7.0,1.1666666666666667,7.0,19.0,8.0,11.0,1.2727272727272727,14.0,,,,,
98,20 sept 2022,36,14,16,2.5,18,12.0,4.0,6.0,1.4,7.0,24.0,10.0,10.0,1.1,11.0,,,,,
99,21 sept 2022,50,15,21,2.45,23,41.0,13.0,16.0,1.2,18.0,9.0,2.0,5.0,1.25,5.0,,,,,
100,22 sept 2022,7,6,7,3.25,9,4.0,4.0,4.0,1.25,5.0,3.0,2.0,3.0,2.0,4.0,,,,,
101,23 sept 2022,6,3,5,3.5,5,3.0,1.0,2.0,2.0,2.0,3.0,2.0,3.0,1.5,3.0,,,,,
102,24 sept 2022,4,2,3,2.0,4,4.0,2.0,3.0,2.0,4.0,,,,,,,,,,
103,25 sept 2022,15,4,6,5.0,7,10.0,1.0,3.0,4.0,4.0,5.0,3.0,3.0,1.0,3.0,,,,,
104,26 sept 2022,45,18,20,2.215909090909091,21,34.0,11.0,12.0,1.0909090909090908,12.0,11.0,7.0,8.0,1.125,9.0,,,,,
105,27 sept 2022,15,13,15,2.166666666666667,16,2.0,2.0,2.0,1.0,2.0,13.0,11.0,13.0,1.1666666666666667,14.0,,,,,
106,28 sept 2022,61,19,28,2.291208791208791,31,33.0,8.0,15.0,1.2142857142857142,17.0,28.0,11.0,13.0,1.0769230769230769,14.0,,,,,
107,29 sept 2022,54,20,26,2.3766233766233764,30,32.0,8.0,12.0,1.0909090909090908,12.0,22.0,12.0,14.0,1.2857142857142858,18.0,,,,,
108,30 sept 2022,40,8,17,3.1,20,11.0,3.0,8.0,1.6,8.0,29.0,5.0,9.0,1.5,12.0,,,,,
109,1 oct 2022,5,3,7,4.333333333333333,7,4.0,2.0,4.0,1.3333333333333333,4.0,1.0,1.0,3.0,3.0,3.0,,,,,
110,2 oct 2022,8,5,6,2.0,6,5.0,3.0,3.0,1.0,3.0,3.0,2.0,3.0,1.0,3.0,,,,,
111,3 oct 2022,29,9,11,3.095238095238096,15,24.0,6.0,7.0,1.4285714285714286,10.0,5.0,3.0,4.0,1.6666666666666667,5.0,,,,,
112,4 oct 2022,30,12,17,5.333333333333333,22,12.0,4.0,7.0,2.0,8.0,16.0,7.0,9.0,1.3333333333333333,12.0,2.0,1.0,1.0,2.0,2.0
113,5 oct 2022,59,20,27,3.929411764705882,38,51.0,15.0,20.0,1.5294117647058822,26.0,8.0,5.0,7.0,2.4,12.0,,,,,
114,6 oct 2022,14,6,6,2.0,6,9.0,5.0,5.0,1.0,5.0,5.0,1.0,1.0,1.0,1.0,,,,,
115,7 oct 2022,9,5,8,4.5,11,5.0,2.0,5.0,2.5,5.0,4.0,3.0,3.0,2.0,6.0,,,,,
116,12 oct 2022,54,17,25,2.517857142857143,30,45.0,12.0,18.0,1.375,22.0,9.0,5.0,7.0,1.1428571428571428,8.0,,,,,
117,13 oct 2022,34,13,20,2.55,23,22.0,7.0,12.0,1.3,13.0,12.0,6.0,8.0,1.25,10.0,,,,,
118,14 oct 2022,14,7,10,2.5,11,9.0,3.0,5.0,1.5,6.0,5.0,4.0,5.0,1.0,5.0,,,,,
119,15 oct 2022,17,10,12,2.75,13,15.0,8.0,9.0,1.25,10.0,2.0,2.0,3.0,1.5,3.0,,,,,
120,16 oct 2022,8,5,6,2.25,6,6.0,4.0,5.0,1.25,5.0,2.0,1.0,1.0,1.0,1.0,,,,,
121,17 oct 2022,9,8,9,2.2,10,4.0,4.0,4.0,1.0,4.0,5.0,4.0,5.0,1.2,6.0,,,,,
122,18 oct 2022,22,8,10,2.0,10,13.0,4.0,4.0,1.0,4.0,9.0,4.0,6.0,1.0,6.0,,,,,
123,19 oct 2022,52,22,28,2.6103896103896105,33,41.0,11.0,17.0,1.4285714285714286,20.0,11.0,11.0,11.0,1.181818181818182,13.0,,,,,
124,20 oct 2022,27,9,14,2.5,15,13.0,4.0,8.0,1.3333333333333333,8.0,14.0,5.0,6.0,1.1666666666666667,7.0,,,,,
125,21 oct 2022,47,24,29,2.6333333333333333,34,34.0,19.0,22.0,1.3,26.0,13.0,5.0,7.0,1.3333333333333333,8.0,,,,,
126,22 oct 2022,23,14,15,2.25,16,19.0,10.0,11.0,1.0,11.0,4.0,4.0,4.0,1.25,5.0,,,,,
127,23 oct 2022,8,5,5,2.25,6,1.0,1.0,1.0,1.0,1.0,7.0,4.0,4.0,1.25,5.0,,,,,
128,24 oct 2022,22,9,13,2.2222222222222223,15,6.0,3.0,4.0,1.0,4.0,16.0,6.0,9.0,1.2222222222222223,11.0,,,,,
129,25 oct 2022,29,16,18,2.333333333333333,21,13.0,8.0,9.0,1.2222222222222223,11.0,16.0,8.0,9.0,1.1111111111111112,10.0,,,,,
130,26 oct 2022,39,15,24,2.454545454545454,27,21.0,8.0,13.0,1.3636363636363635,15.0,18.0,7.0,11.0,1.0909090909090908,12.0,,,,,
131,27 oct 2022,24,11,14,2.125,14,17.0,6.0,9.0,1.125,9.0,7.0,5.0,5.0,1.0,5.0,,,,,
132,28 oct 2022,19,9,10,2.4761904761904763,12,5.0,2.0,3.0,1.3333333333333333,4.0,14.0,7.0,7.0,1.1428571428571428,8.0,,,,,
133,29 oct 2022,9,7,8,2.583333333333333,9,5.0,4.0,5.0,1.25,5.0,4.0,3.0,3.0,1.3333333333333333,4.0,,,,,
134,30 oct 2022,22,7,7,2.0,7,12.0,4.0,4.0,1.0,4.0,10.0,3.0,3.0,1.0,3.0,,,,,
135,31 oct 2022,20,9,13,2.333333333333333,14,9.0,4.0,6.0,1.0,6.0,11.0,5.0,7.0,1.3333333333333333,8.0,,,,,
136,1 nov 2022,27,11,15,3.8,18,8.0,2.0,3.0,2.5,5.0,19.0,9.0,12.0,1.3,13.0,,,,,
137,2 nov 2022,44,15,22,2.7666666666666666,25,36.0,11.0,18.0,1.2666666666666666,19.0,8.0,4.0,4.0,1.5,6.0,,,,,
138,3 nov 2022,14,4,9,3.0,9,8.0,1.0,4.0,2.0,4.0,6.0,3.0,5.0,1.0,5.0,,,,,
139,4 nov 2022,6,5,6,2.5,6,3.0,2.0,3.0,1.5,3.0,3.0,3.0,3.0,1.0,3.0,,,,,
140,5 nov 2022,4,3,4,2.5,4,3.0,2.0,3.0,1.5,3.0,1.0,1.0,1.0,1.0,1.0,,,,,
141,6 nov 2022,5,3,3,2.0,3,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,1.0,2.0,,,,,
142,7 nov 2022,29,12,14,2.325,15,21.0,5.0,6.0,1.2,6.0,8.0,7.0,8.0,1.125,9.0,,,,,
143,8 nov 2022,10,5,8,3.0,9,5.0,2.0,4.0,1.3333333333333333,4.0,5.0,3.0,4.0,1.6666666666666667,5.0,,,,,
144,9 nov 2022,44,24,28,2.548872180451128,33,36.0,18.0,21.0,1.263157894736842,24.0,8.0,6.0,7.0,1.2857142857142858,9.0,,,,,
145,10 nov 2022,17,6,11,3.2142857142857144,15,14.0,4.0,8.0,1.7142857142857142,12.0,3.0,2.0,3.0,1.5,3.0,,,,,
146,11 nov 2022,17,6,9,2.75,11,13.0,3.0,5.0,1.5,6.0,4.0,3.0,4.0,1.25,5.0,,,,,
147,12 nov 2022,11,8,9,2.166666666666667,10,4.0,3.0,3.0,1.0,3.0,7.0,5.0,6.0,1.1666666666666667,7.0,,,,,
148,13 nov 2022,6,2,5,2.0,6,6.0,2.0,5.0,2.0,6.0,,,,,,,,,,
149,14 nov 2022,17,12,13,2.3428571428571425,14,8.0,5.0,6.0,1.2,6.0,9.0,7.0,7.0,1.1428571428571428,8.0,,,,,
150,15 nov 2022,18,10,12,2.2,12,12.0,6.0,6.0,1.0,6.0,6.0,4.0,6.0,1.2,6.0,,,,,
151,16 nov 2022,25,12,14,2.8285714285714283,17,12.0,5.0,6.0,1.4,7.0,13.0,7.0,8.0,1.4285714285714286,10.0,,,,,
152,17 nov 2022,20,9,12,2.666666666666667,15,16.0,6.0,7.0,1.6666666666666667,10.0,4.0,3.0,5.0,1.0,5.0,,,,,
153,18 nov 2022,26,13,17,2.2,18,19.0,9.0,11.0,1.2,12.0,7.0,4.0,6.0,1.0,6.0,,,,,
154,19 nov 2022,25,13,14,2.083333333333333,15,23.0,12.0,12.0,1.0833333333333333,13.0,2.0,1.0,2.0,1.0,2.0,,,,,
155,20 nov 2022,12,8,8,2.0,8,10.0,7.0,7.0,1.0,7.0,2.0,1.0,1.0,1.0,1.0,,,,,
156,21 nov 2022,11,7,10,3.083333333333333,11,7.0,4.0,7.0,1.75,7.0,4.0,3.0,3.0,1.3333333333333333,4.0,,,,,
157,22 nov 2022,13,9,12,2.375,12,12.0,8.0,11.0,1.375,11.0,1.0,1.0,1.0,1.0,1.0,,,,,
158,23 nov 2022,64,24,26,2.4722222222222223,32,48.0,16.0,18.0,1.2222222222222223,22.0,16.0,8.0,8.0,1.25,10.0,,,,,
159,24 nov 2022,10,6,9,2.833333333333333,10,4.0,2.0,4.0,1.3333333333333333,4.0,6.0,4.0,5.0,1.5,6.0,,,,,
160,25 nov 2022,9,1,4,3.0,5,8.0,1.0,3.0,2.0,4.0,1.0,0.0,1.0,1.0,1.0,,,,,
161,26 nov 2022,25,17,18,2.2575757575757582,19,19.0,11.0,12.0,1.0909090909090908,12.0,6.0,6.0,6.0,1.1666666666666667,7.0,,,,,
162,27 nov 2022,2,0,2,,2,2.0,0.0,2.0,,2.0,,,,,,,,,,
163,28 nov 2022,22,7,10,4.0,11,11.0,2.0,5.0,3.0,6.0,11.0,5.0,5.0,1.0,5.0,,,,,
164,29 nov 2022,9,5,8,2.666666666666667,8,6.0,3.0,5.0,1.6666666666666667,5.0,3.0,2.0,3.0,1.0,3.0,,,,,
165,30 nov 2022,18,6,10,3.4,10,15.0,4.0,7.0,1.4,7.0,2.0,1.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0
166,1 dic 2022,22,14,17,2.2666666666666666,18,9.0,5.0,7.0,1.1666666666666667,7.0,13.0,9.0,10.0,1.1,11.0,,,,,
167,2 dic 2022,3,2,3,1.0,3,,,,,,3.0,2.0,3.0,1.0,3.0,,,,,
168,3 dic 2022,9,5,5,2.0,5,5.0,3.0,3.0,1.0,3.0,4.0,2.0,2.0,1.0,2.0,,,,,
169,4 dic 2022,20,4,5,2.5,5,3.0,2.0,2.0,1.0,2.0,17.0,2.0,3.0,1.5,3.0,,,,,
170,5 dic 2022,11,7,8,2.0,8,3.0,2.0,2.0,1.0,2.0,8.0,5.0,6.0,1.0,6.0,,,,,
171,6 dic 2022,27,4,5,2.333333333333333,6,2.0,2.0,2.0,1.0,2.0,25.0,2.0,3.0,1.3333333333333333,4.0,,,,,
172,7 dic 2022,23,12,15,2.4285714285714293,17,12.0,7.0,7.0,1.0,7.0,11.0,5.0,8.0,1.4285714285714286,10.0,,,,,
173,8 dic 2022,10,7,9,2.5,9,7.0,6.0,6.0,1.0,6.0,3.0,1.0,3.0,1.5,3.0,,,,,
174,9 dic 2022,3,2,2,2.0,2,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,,,,,
175,10 dic 2022,7,7,7,2.0,7,2.0,2.0,2.0,1.0,2.0,5.0,5.0,5.0,1.0,5.0,,,,,
176,11 dic 2022,3,2,2,1.0,2,3.0,2.0,2.0,1.0,2.0,,,,,,,,,,
177,12 dic 2022,16,11,12,2.0,12,5.0,5.0,5.0,1.0,5.0,11.0,6.0,7.0,1.0,7.0,,,,,
178,13 dic 2022,6,4,6,1.0,6,,,,,,6.0,4.0,6.0,1.0,6.0,,,,,
179,14 dic 2022,6,5,5,2.0,5,3.0,2.0,2.0,1.0,2.0,3.0,3.0,3.0,1.0,3.0,,,,,
180,15 dic 2022,12,5,7,2.5,8,3.0,2.0,2.0,1.5,3.0,9.0,3.0,5.0,1.0,5.0,,,,,
181,16 dic 2022,9,5,6,2.333333333333333,7,4.0,3.0,3.0,1.0,3.0,5.0,2.0,3.0,1.3333333333333333,4.0,,,,,
182,17 dic 2022,5,4,4,2.0,4,4.0,3.0,3.0,1.0,3.0,1.0,1.0,1.0,1.0,1.0,,,,,
183,18 dic 2022,1,0,1,1.0,1,1.0,0.0,1.0,1.0,1.0,,,,,,,,,,
184,19 dic 2022,20,11,12,2.1111111111111107,13,3.0,3.0,3.0,1.0,3.0,17.0,8.0,9.0,1.1111111111111112,10.0,,,,,
185,20 dic 2022,5,3,3,1.0,3,5.0,3.0,3.0,1.0,3.0,,,,,,,,,,
186,21 dic 2022,4,2,2,2.0,2,1.0,1.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,1.0,,,,,
187,22 dic 2022,3,1,3,,4,2.0,0.0,1.0,,2.0,1.0,1.0,2.0,1.0,2.0,,,,,
188,23 dic 2022,3,2,3,3.0,3,2.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,,,,,
189,24 dic 2022,2,2,2,2.0,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,
190,25 dic 2022,4,3,4,2.5,4,3.0,2.0,3.0,1.5,3.0,1.0,1.0,1.0,1.0,1.0,,,,,
